Species,FecundityMean,n
Alosa alosa,312500,2
Alosa fallax,137500,3
Lampetra fluviatilis,20865,10
Petromyzon marinus,190889,8
Salmo salar,9606,10
Salmo trutta,2713,9
Acipenser sturio,1375000,2
Osmerus eperlanus,26938,4
Anguilla anguilla,2500000,1
Chelon ramada,442668,4
Platichthys flesus,1179292,7
